total_num_steps,causal_influence_kl_agent0,causal_influence_kl_agent1,causal_influence_kl_mean,causal_influence_value_sensitivity_agent0,causal_influence_value_sensitivity_agent1,causal_influence_value_sensitivity_mean
6400,0.002947939671576023,0.0043807262415066365,0.00366433295654133,0.65779780626297,0.7557201598584652,0.7067589830607176
38400,0.012161725230980665,0.004981695611495525,0.008571710421238094,1.5465263855457305,1.4311893048882485,1.4888578452169896
70400,0.020763206053525208,0.039404722880572084,0.030083964467048648,0.3871927258372307,0.3472168271243572,0.36720477648079397
102400,0.02819266784004867,0.01792671501636505,0.02305969142820686,0.824963154438883,0.8630825724080204,0.8440228634234517
134400,0.030219244086183608,0.1090895776078105,0.06965441084699706,0.4308976674824953,0.4424433217942715,0.43667049463838337
166400,0.04009596499614418,0.06538120183162391,0.052738583413884044,0.49055453404784205,0.4862176597118378,0.4883860968798399
198400,0.10810772376134992,0.02805155547335744,0.06807963961735368,0.5750369804725051,0.5895434748753905,0.5822902276739478
230400,0.05872074708342552,0.05661831583827734,0.05766953146085143,1.2616558107733726,1.256457237303257,1.2590565240383147
262400,0.11623039691708982,0.10480993637815118,0.1105201666476205,0.67053202226758,0.6444085717201233,0.6574702969938517
294400,0.06450598450377583,0.041217174257617444,0.05286157938069663,0.6311725167930127,0.6270153972506524,0.6290939570218326
326400,0.08422707404009998,0.055032290741801264,0.06962968239095062,1.0802823967486619,1.088021326288581,1.0841518615186214
358400,0.05790611260104925,0.08852735199034215,0.0732167322956957,1.0466461160779,1.053796579539776,1.0502213478088378
390400,0.10536425281316042,0.08930765133351087,0.09733595207333565,0.19979623399674892,0.19192202642560005,0.1958591302111745
422400,0.1724115652963519,0.050209580548107625,0.11131057292222976,0.07542717214673758,0.07215329591184855,0.07379023402929306
454400,0.030339029701426625,0.09044934166595339,0.06039418568369001,0.22425948530435563,0.2448757027089596,0.2345675940066576
486400,0.09842082165181637,0.04386574894189835,0.07114328529685736,0.6842441093921662,0.6766089031100273,0.6804265062510968
518400,0.045124511905014514,0.033818940699566154,0.03947172630229033,0.4116201537102461,0.4188690439611673,0.4152445988357067
550400,0.18174556896090507,0.1559892089292407,0.1688673889450729,0.863212271630764,0.8888876929879188,0.8760499823093414
582400,0.14168912928551436,0.05218551838770509,0.09693732383660972,1.0348578216135502,0.9819777710735798,1.008417796343565
614400,0.19193858534097671,0.03653026312589645,0.11423442423343658,0.17810185436159373,0.278384021371603,0.22824293786659838
646400,0.2925643271859735,0.1565054637566209,0.2245348954712972,1.450291776508093,1.4974791038036346,1.4738854401558639
678400,0.16433833800256253,0.227866439986974,0.19610238899476828,0.6906536391377449,0.6923340210318565,0.6914938300848007
